Covered Wagon Raid,R. G. Springsteen,"Allan Lane, Lyn Thomas",Western,Republic
Cow Town,John English,"Gene Autry, Gail Davis",Western,Columbia
Crisis,Richard Brooks,"Cary Grant, José Ferrer, Paula Raymond",Film-noir,MGM. Based on short story The Doubters
Crooked River,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
Cry Murder,Jack Glenn,"Carole Mathews, Jack Lord",Crime,Film Classics
Curtain Call at Cactus Creek,Charles Lamont,"Donald O'Connor, Walter Brennan, Gale Storm",Comedy,Universal
Customs Agent,Seymour Friedman,"William Eythe, Marjorie Reynolds",Crime,Columbia
Cyrano de Bergerac,Michael Gordon,"José Ferrer, Mala Powers",Adventure,United Artists. Oscar for Best Actor
D.O.A.,Rudolph Maté,"Edmond O'Brien, Pamela Britton, Luther Adler, Beverly Garland",Film noir,United Artists; remade in 1988
Dakota Lil,Lesley Selander,"George Montgomery, Marie Windsor",Western,20th Century Fox
Dallas,Stuart Heisler,"Gary Cooper, Ruth Roman, Raymond Massey, Steve Cochran, Reed Hadley",Western,Warner Bros.
The Daltons' Women,Thomas Carr,"Lash LaRue, Jack Holt, Pamela Blake",Western,Realart
The Damned Don't Cry,Vincent Sherman,"Joan Crawford, David Brian",Film noir,Warner Bros. Based on story by Gertrude Walker
Dark City,William Dieterle,"Charlton Heston, Lizabeth Scott",Film noir,Paramount. Heston's first film
The Daughter of Rosie O'Grady,David Butler,"June Haver, Gordon MacRae, Debbie Reynolds, James Barton, Gene Nelson",Musical,Warner Bros.
"David Harding, Counterspy",Ray Nazarro,"Willard Parker, Audrey Long",Film noir,Columbia
"Davy Crockett, Indian Scout",Lew Landers,"George Montgomery, Ellen Drew",Western,United Artists
Deported,Robert Siodmak,"Märta Torén, Jeff Chandler",Film noir,Universal
The Desert Hawk,Frederick de Cordova,"Yvonne De Carlo, Jackie Gleason",Adventure,Universal
Destination Big House,George Blair,"Dorothy Patrick, Robert Rockwell",Crime,Republic
Destination Moon,Irving Pichel,"Dick Wesson, Warner Anderson",Science fiction,Eagle-Lion
Destination Murder,Edward L. Cahn,"Joyce MacKenzie, Hurd Hatfield",Film noir,RKO
Devil's Doorway,Anthony Mann,"Robert Taylor, Louis Calhern",Western,MGM
Dial 1119,Gerald Mayer,"Marshall Thompson, Virginia Field, Sam Levene",Film noir,MGM
Duchess of Idaho,Robert Z. Leonard,"Van Johnson, Esther Williams",Musical,MGM
Double Deal,Abby Berlin,"Marie Windsor, Fay Baker",Crime drama,RKO
The Du Pont Story,Wilhelm Thiele,"Eduard Franz, Sigrid Gurie, Tom Neal",Biographical,Independent
Dynamite Pass,Lew Landers,"Tim Holt, Lynne Roberts",Western,RKO
The Eagle and the Hawk,Lewis R. Foster,"John Payne, Rhonda Fleming, Dennis O'Keefe",Western,Paramount
Edge of Doom,Mark Robson,"Dana Andrews, Farley Granger, Joan Evans",Film noir,RKO
Emergency Wedding,Edward Buzzell,"Barbara Hale, Larry Parks",Comedy,Columbia
Everybody's Dancin',Will Jason,"Spade Cooley, Barbara Woodell",Musical,Lippert
Experiment Alcatraz,Edward L. Cahn,"Joan Dixon, John Howard",Drama,RKO
Fancy Pants,George Marshall,"Lucille Ball, Bob Hope",Comedy,Paramount
Fast on the Draw,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
Father Is a Bachelor,"Abby Berlin, Norman Foster","William Holden, Coleen Gray",Romantic comedy,Columbia
Father of the Bride,Vincente Minnelli,"Spencer Tracy, Elizabeth Taylor, Joan Bennett, Billie Burke, Leo G. Carroll, Don Taylor",Comedy,MGM. 3 Oscar nominations; sequel in 1951; remade in 1991
Father Makes Good,Jean Yarbrough,"Raymond Walburn, Walter Catlett",Comedy,Monogram
Father's Wild Game,Herbert I. Leeds,"Raymond Walburn, Walter Catlett",Comedy,Monogram
Federal Agent at Large,George Blair,"Dorothy Patrick, Robert Rockwell",Crime,Republic
Federal Man,Robert Emmett Tansey,"William Henry, Pamela Blake, Movita Castaneda",Thriller,Eagle-Lion
Fence Riders,Wallace Fox,"Whip Wilson, Andy Clyde, Reno Browne",Western,Monogram
The Fighting Stallion,Robert Emmett Tansey,"Bill Edwards, Doris Merrick",Western,Eagle-Lion
The File on Thelma Jordon,Robert Siodmak,"Wendell Corey, Barbara Stanwyck",Film noir,Paramount
The Fireball,Tay Garnett,"Mickey Rooney, Pat O'Brien, Beverly Tyler",Drama,20th Century Fox
The Flame and the Arrow,Jacques Tourneur,"Burt Lancaster, Virginia Mayo, Robert Douglas",Adventure,Warner Bros.
The Flying Missile,Henry Levin,"Glenn Ford, Viveca Lindfors",War,Columbia
The Flying Saucer,Mikel Conrad,"Mikel Conrad, Roy Engel",Science fiction,Film Classics. First film with flying saucers
For Heaven's Sake,George Seaton,"Clifton Webb, Joan Bennett, Robert Cummings, Edmund Gwenn, Joan Blondell","Fantasy, comedy",20th Century Fox. Adapted from play May We Come In?
Forbidden Jungle,Robert Emmett Tansey,"Don C. Harvey, Forrest Taylor",Adventure,Eagle-Lion
Fortunes of Captain Blood,Gordon Douglas,"Louis Hayward, Patricia Medina",Adventure,Columbia. Remake of 1935's Captain Blood
Francis,Arthur Lubin,"Donald O'Connor, Patricia Medina",Comedy,"Universal. Launched ""Talking Mule"" series"
Frenchie,Louis King,"Shelley Winters, Joel McCrea",Western,Universal. Loosely based on Destry Rides Again
Frisco Tornado,R. G. Springsteen,"Allan Lane, Martha Hyer",Western,Republic
Frontier Outpost,Ray Nazarro,"Charles Starrett, Lois Hall",Western,Columbia
The Fuller Brush Girl,Lloyd Bacon,"Lucille Ball, Eddie Albert, Gale Robbins",Comedy,Columbia. Cameo by Red Skelton
The Furies,Anthony Mann,"Walter Huston, Barbara Stanwyck, Wendell Corey, Judith Anderson, Gilbert Roland","Western, film noir",Paramount. Huston's last performance
The Girl from San Lorenzo,Derwin Abrahams,"Duncan Renaldo, Leo Carrillo",Western,United Artists
Girls' School,Lew Landers,"Joyce Reynolds, Ross Ford",Drama,Columbia
The Glass Menagerie,Irving Rapper,"Jane Wyman, Kirk Douglas, Gertrude Lawrence, Arthur Kennedy",Drama,Warner Bros. Based on the play by Tennessee Williams
The Goldbergs,Walter Hart,"Philip Loeb, Eli Mintz",Comedy,Paramount
The Golden Gloves Story,Felix E. Feist,"James Dunn, Dewey Martin",Drama,Eagle-Lion
The Good Humor Man,Lloyd Bacon,"Jack Carson, Lola Albright, George Reeves",Comedy,Columbia
The Great Jewel Robber,Peter Godfrey,"David Brian, Marjorie Reynolds",Crime,Warner Bros.
The Great Plane Robbery,Edward L. Cahn,"Tom Conway, Steve Brodie",Drama,United Artists
The Great Rupert,Irving Pichel,"Jimmy Durante, Tom Drake, Terry Moore",Comedy,Eagle-Lion
Guilty Bystander,Joseph Lerner,"Zachary Scott, Faye Emerson",Film noir,Film Classics
Guilty of Treason,Felix E. Feist,"Charles Bickford, Bonita Granville",Drama,Eagle-Lion
Gun Crazy,Joseph H. Lewis,"Peggy Cummins, John Dall",Film noir,United Artists. aka Deadly Is the Female
The Gunfighter,Henry King,"Gregory Peck, Helen Westcott, Karl Malden, Millard Mitchell, Skip Homeier",Western,20th Century Fox
Gunfire,William Berke,"Don ""Red"" Barry, Robert Lowery, Pamela Blake",Western,Lippert
Gunman in the Streets,Frank Tuttle,"Dane Clark, Simone Signoret, Fernand Gravey",Film noir,Independent. Shot on location in Paris
Gunmen of Abilene,Fred C. Brannon,"Allan Lane, Eddy Waller",Western,Republic
Gunslingers,Wallace Fox,"Whip Wilson, Andy Clyde, Reno Browne",Western,Monogram
The Happy Years,William A. Wellman,"Dean Stockwell, Leo G. Carroll",Comedy,MGM
Harbor of Missing Men,R. G. Springsteen,"Richard Denning, Barbra Fuller, Steven Geray",Action,Columbia
Harriet Craig,Vincent Sherman,"Joan Crawford, Wendell Corey",Drama,Columbia. Based on the 1925 play Craig's Wife
Harvey,Henry Koster,"James Stewart, Josephine Hull, Peggy Dow, Charles Drake, Cecil Kellaway","Fantasy, comedy",Universal. Based on the 1944 play; Academy Award for Hull
He's a Cockeyed Wonder,Peter Godfrey,"Mickey Rooney, Terry Moore",Comedy,Columbia
Hi-Jacked,Sam Newfield,"Jim Davis, Marcia Mae Jones",Film noir,Lippert
The Hidden City,Ford Beebe,"Johnny Sheffield, Sue England",Adventure,Monogram
High Lonesome,Alan Le May,John Drew Barrymore,Western,Eagle-Lion Films
Highway 301,Andrew L. Stone,"Steve Cochran, Virginia Grey",Film noir,Warner Bros.
Hills of Oklahoma,R. G. Springsteen,"Rex Allen, Elisabeth Fraser",Western,Republic
Hit Parade of 1951,John H. Auer,"Marie McDonald, John Carroll",Musical,Republic
Hoedown,Ray Nazarro,"Eddy Arnold, Jeff Donnell, Jock Mahoney",Musical,Columbia
Holiday Rhythm,Jack Scholl,"Mary Beth Hughes, Tex Ritter",Musical,Lippert
Hollywood Varieties,Paul Landres,"Robert Alda, Peggy Stewart",Musical,Lippert
Hostile Country,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
Hot Rod,Lewis D. Collins,"Jimmy Lydon, Gloria Winters",Drama,Monogram
House by the River,Fritz Lang,"Louis Hayward, Jane Wyatt, Lee Bowman",Film noir,Republic
I Killed Geronimo,John Hoffman,"James Ellison, Chief Thundercloud",Western,Eagle-Lion
I Shot Billy the Kid,William Berke,"Don ""Red"" Barry, Robert Lowery",Western,Lippert
I Was a Shoplifter,Charles Lamont,"Mona Freeman, Scott Brady, Charles Drake",Film noir,Universal
I'll Get By,Richard Sale,"June Haver, William Lundigan",Musical,20th Century Fox
In a Lonely Place,Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Jeff Donnell, Art Smith",Film noir,Columbia; adapted from 1947 novel
Indian Territory,John English,"Gene Autry, Gail Davis",Western,Columbia
The Iroquois Trail,Phil Karlson,"George Montgomery, Brenda Marshall",Western,United Artists
It's a Small World,William Castle,"Lorraine Miller, Will Geer",Drama,Eagle-Lion
The Jackie Robinson Story,Alfred E. Green,"Jackie Robinson, Ruby Dee",Biography,Eagle-Lion. Starring Robinson as himself
The Jackpot,Walter Lang,"James Stewart, Barbara Hale",Comedy,20th Century Fox. Features a young Natalie Wood
Jiggs and Maggie Out West,William Beaudine,"Joe Yule, Renie Riano",Comedy,Monogram
Joe Palooka in Humphrey Takes a Chance,Jean Yarbrough,"Leon Errol, Joe Kirkwood, Lois Collier",Comedy,Monogram
Joe Palooka in The Squared Circle,Reginald Le Borg,"Joe Kirkwood, James Gleason, Lois Hall",Comedy,Monogram
Joe Palooka Meets Humphrey,Jean Yarbrough,"Leon Errol, Joe Kirkwood, Elyse Knox",Comedy,Monogram
Johnny One-Eye,Robert Florey,"Pat O'Brien, Wayne Morris, Dolores Moran",Film noir,United Artists
Julius Caesar,David Bradley,"Harold Tasker, Charlton Heston",Drama,Shot in Chicago
The Kangaroo Kid,Lesley Selander,"Martha Hyer, Veda Ann Borg, Jock Mahoney",Western,United Artists
Kansas Raiders,Ray Enright,"Audie Murphy, Brian Donlevy",Western,Universal
